days,departure_date,now,pageid,price,title,titleid,titleurl,total
5,2019-04-02,8,P002,25800,菲悅巴拉望一島一飯店～直飛超值渡假五日遊～東南亞航空XO,PPS05190402A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=PPS05190402A&sacctNo=70845312,20
5,2019-04-02,15,P002,29000,迷戀沙巴美人魚島5日(2人成行),BKIMH90402GA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=BKIMH90402GA&sacctNo=23420481,16
5,2019-03-23,5,P002,12900,台灣虎航-宿霧資生堂島輕鬆走4+1日,CEB05190323A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190323A&sacctNo=70845312,7
5,2019-03-23,20,P002,13500,【亞洲航空】清邁自由行5天-精選酒店(含稅),0CNX190323FD,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=0CNX190323FD,20
5,2019-03-23,20,P002,14900,台灣虎航-宿霧資生堂島+薄荷島超值4+1日,CEB05190323B,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190323B&sacctNo=70845312,20
5,2019-04-02,3,P002,31500,醬玩中越峴港漫遊會安豪華美食全程五星五日早午,DADFE90402GB,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=DADFE90402GB&sacctNo=23420481,20
5,2019-04-03,2,P002,20500,長灘島直飛五日小資-東南亞航空XO,KLO05190403A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO05190403A&sacctNo=70845312,16
5,2019-04-03,2,P002,22500,長灘島直飛五日超值-東南亞航空XO,KLO05190403B,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO05190403B&sacctNo=70845312,10
4,2019-04-08,24,P002,15388,《沖繩好好玩》玩翻沖繩四日～海洋博．古宇利．OUTLET．瀨長島＜早去午回＞★現金優惠價不含稅,OKACI90408SF,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=OKACI90408SF&sacctNo=23420481,25
4,2019-04-08,24,P002,20888,《沖繩好好玩》沖繩GO歡樂四日～美國村．海洋博．永旺夢樂城．OUTLET【現金優惠價】早去早回,OKACI90408TS,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=OKACI90408TS&sacctNo=23420481,25
5,2019-03-23,27,P002,36900,【前16名收訂優惠1000關西櫻之物語‧京都賞櫻.大阪城.銀閣寺粉戀五日,OSACX90323PB,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=OSACX90323PB&sacctNo=23420481,28
5,2019-03-23,27,P002,39900,【前16名收訂者優惠1千】【旗艦東瀛】三都春櫻序‧奈良.梅花鹿公園.琵琶湖.海津大崎風雅五日,OSACX90323PA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=OSACX90323PA&sacctNo=23420481,28
10,2019-03-23,0,P002,59900,銀色克斯波雙5星雙堡雙國家公園OUTLET10天,EE1090323QRA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=EE1090323QRA,34
5,2019-03-24,10,P002,12888,金澤一夜情虎航小松機票五日,0KMQ190324IT,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=0KMQ190324IT,10
5,2019-03-17,27,P002,35900,【前16名收訂優惠1000】三方五湖雪唯美‧美山合掌村.天橋立.越前冬旅五日,OSACX90317PA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=OSACX90317PA&sacctNo=23420481,28
5,2019-04-03,2,P002,24500,長灘島直飛五日精選-東南亞航空XO,KLO05190403C,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO05190403C&sacctNo=70845312,6
5,2019-04-03,27,P002,33900,【聯營團★清明連休】北海道兩晚五星、雙夜景纜車、三大蟹5日,SPK190403ITA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=SPK190403ITA,30
10,2019-04-03,0,P002,84900,經典德瑞國王湖少女峰10日,EW1090403CIA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=EW1090403CIA,27
11,2019-04-03,0,P002,102900,義見傾心義大利西西里南北義全覽11天,EW1190403CIA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=EW1190403CIA,27
4,2019-04-08,24,P002,21888,《沖繩好好玩》HAPPYGO四日～海洋博．萬座毛．瀨長島．A級飯店＜華航早去早回＞,OKACI90408GP,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=OKACI90408GP&sacctNo=23420481,25
5,2019-04-08,12,P002,24900,宿霧+薄荷島與鯨同遊全覽5日-XO東南亞航空,CEB05190408C,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190408C&sacctNo=70845312,20
4,2019-04-08,24,P002,25888,《沖繩好好玩》夏戀沖繩四日～海洋博．恐龍森林公園．青洞浮潛．琉球文化村＜早去午回＞,OKACI90408GL,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=OKACI90408GL&sacctNo=23420481,25
5,2019-04-08,15,P002,26000,迷戀沙巴美人魚島5日(2人成行),BKIMH90408GA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=BKIMH90408GA&sacctNo=23420481,16
6,2019-03-24,6,P002,15500,台灣虎航-宿霧資生堂島輕鬆走5+1日,CEB06190324A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB06190324A&sacctNo=70845312,6
6,2019-03-24,4,P002,25500,台灣虎航-宿霧薄荷島2晚五星飯店尊爵5+1日,CEB06190324C,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB06190324C&sacctNo=70845312,4
5,2019-03-24,6,P002,26300,巴拉望超值五日-FE直飛,PPS05190324A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=PPS05190324A&sacctNo=70845312,8
10,2019-03-17,0,P002,50900,法老王的呼喚金字塔紅海度假10天,AE1090317RJA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=AE1090317RJA,18
11,2019-03-17,0,P002,54900,春夏超值奧捷斯匈東歐四國全覽11天,EE1190317HUA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=EE1190317HUA,34
11,2019-03-17,0,P002,79900,摩西來了!西班牙摩洛哥直布羅陀11天,ES1190317EKA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=ES1190317EKA,26
6,2019-03-19,16,P002,15500,台灣虎航-宿霧資生堂島輕鬆走5+1日,CEB06190319A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB06190319A&sacctNo=70845312,20
6,2019-04-04,2,P002,18400,長灘島直飛六日小資-台灣虎航,KLO06190404A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO06190404A&sacctNo=70845312,2
6,2019-04-04,2,P002,20400,長灘島直飛六日超值-台灣虎航,KLO06190404B,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO06190404B&sacctNo=70845312,2
5,2019-04-04,13,P002,25900,薄荷島+宿霧與鯨同遊全覽5日-XO東南亞航空,CEB05190404D,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190404D&sacctNo=70845312,20
4,2019-04-08,24,P002,26888,《沖繩好好玩》HI翻沖繩四日～海洋博公園．古宇利大橋．古宇利海洋塔～A級飯店A級享樂【華航早去早回】,OKACI90408GH,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=OKACI90408GH&sacctNo=23420481,25
